Index,Date,Accuracy 1,Accuracy 2,Accuracy 3
1,11/1/04,73,0.73,73%
2,11/2/04,71,0.71,71%
3,11/3/04,45,0.45,45%
4,11/4/04,50,0.5,50%
5,11/5/04,62,0.62,62%
6,11/6/04,43,0.43,43%
7,11/7/04,72,0.72,72%
8,11/8/04,52,0.52,52%
9,11/9/04,58,0.58,58%
10,11/10/04,71,0.71,71%
11,11/11/04,72,0.72,72%
12,11/12/04,64,0.64,64%
13,11/13/04,64,0.64,64%
14,11/14/04,48,0.48,48%
15,11/15/04,72,0.72,72%
16,11/16/04,66,0.66,66%
17,11/17/04,66,0.66,66%
18,11/18/04,50,0.5,50%
19,11/19/04,74,0.74,74%
20,11/20/04,69,0.69,69%
21,11/21/04,68,0.68,68%
22,11/22/04,50,0.5,50%
23,11/23/04,58,0.58,58%
24,11/24/04,41,0.41,41%
25,11/25/04,75,0.75,75%
26,11/26/04,57,0.57,57%
27,11/27/04,71,0.71,71%
28,11/28/04,45,0.45,45%
29,11/29/04,49,0.49,49%
30,11/30/04,54,0.54,54%
31,12/1/04,65,0.65,65%
